Fecha	Temperatura
07/03/2015	11.6
08/03/2015	12.0
09/03/2015	12.0
10/03/2015	12.3
11/03/2015	12.1
12/03/2015	12.0
13/03/2015	12.2
14/03/2015	11.9
15/03/2015	11.5
16/03/2015	11.4
17/03/2015	11.6
18/03/2015	12.6
19/03/2015	12.7
20/03/2015	12.8
21/03/2015	12.5
22/03/2015	12.4
23/03/2015	12.3
24/03/2015	12.1
25/03/2015	11.8
26/03/2015	11.7
27/03/2015	12.0
28/03/2015	12.2
29/03/2015	12.6
30/03/2015	13.0
31/03/2015	13.0
01/04/2015	13.0
02/04/2015	12.9
03/04/2015	12.9
04/04/2015	13.1
05/04/2015	13.5
06/04/2015	13.4
07/04/2015	12.8
08/04/2015	12.9
09/04/2015	13.0
10/04/2015	13.1
11/04/2015	13.6
12/04/2015	13.8
13/04/2015	13.6
14/04/2015	13.8
15/04/2015	13.8
16/04/2015	13.5
17/04/2015	13.7
18/04/2015	13.8
19/04/2015	13.8
20/04/2015	13.8
21/04/2015	14.4
22/04/2015	14.6
23/04/2015	14.0
24/04/2015	14.3
25/04/2015	14.3
26/04/2015	15.0
27/04/2015	14.9
28/04/2015	14.8
29/04/2015	14.8
30/04/2015	14.7
01/05/2015	15.2
02/05/2015	15.3
03/05/2015	15.6
04/05/2015	15.8
05/05/2015	15.3
06/05/2015	15.1
07/05/2015	15.2
08/05/2015	15.6
09/05/2015	16.0
10/05/2015	16.0
11/05/2015	16.3
12/05/2015	16.5
13/05/2015	16.6
14/05/2015	16.6
15/05/2015	15.8
16/05/2015	15.6
17/05/2015	15.9
18/05/2015	16.0
19/05/2015	15.7
20/05/2015	15.5
21/05/2015	15.4
22/05/2015	16.0
23/05/2015	16.2
24/05/2015	16.7
25/05/2015	16.9
26/05/2015	17.2
27/05/2015	17.0
28/05/2015	16.9
29/05/2015	16.8
30/05/2015	16.8
31/05/2015	17.4
01/06/2015	18.6
02/06/2015	19.1
03/06/2015	17.8
04/06/2015	17.4
05/06/2015	17.3
06/06/2015	17.8
07/06/2015	17.3
08/06/2015	16.3
09/06/2015	16.0
10/06/2015	16.3
11/06/2015	16.6
12/06/2015	17.0
13/06/2015	17.1
14/06/2015	17.1
15/06/2015	18.3
16/06/2015	17.7
17/06/2015	18.2
18/06/2015	18.4
19/06/2015	18.5
20/06/2015	18.3
21/06/2015	17.4
22/06/2015	16.5
23/06/2015	16.4
24/06/2015	16.6
25/06/2015	16.7
26/06/2015	16.4
27/06/2015	17.4
28/06/2015	17.9
29/06/2015	18.0
30/06/2015	16.8
01/07/2015	17.1
02/07/2015	18.3
03/07/2015	18.3
04/07/2015	19.0
05/07/2015	19.4
06/07/2015	18.9
07/07/2015	19.6
08/07/2015	20.0
09/07/2015	20.4
10/07/2015	19.3
11/07/2015	17.0
12/07/2015	18.1
13/07/2015	17.9
14/07/2015	18.1
15/07/2015	18.0
16/07/2015	17.3
17/07/2015	17.9
18/07/2015	18.3
19/07/2015	19.2
20/07/2015	19.6
21/07/2015	19.8
22/07/2015	19.2
23/07/2015	19.0
24/07/2015	19.4
25/07/2015	19.8
26/07/2015	20.0
27/07/2015	
28/07/2015	20.9
29/07/2015	21.3
30/07/2015	20.8
31/07/2015	19.9
01/08/2015	19.1
02/08/2015	19.3
03/08/2015	18.3
04/08/2015	19.3
05/08/2015	19.6
06/08/2015	19.9
07/08/2015	20.3
08/08/2015	20.0
09/08/2015	20.4
10/08/2015	20.8
11/08/2015	19.0
12/08/2015	19.1
13/08/2015	20.1
14/08/2015	20.2
15/08/2015	20.0
16/08/2015	20.4
17/08/2015	20.2
18/08/2015	20.3
19/08/2015	20.4
20/08/2015	20.4
21/08/2015	20.0
22/08/2015	20.4
23/08/2015	21.0
24/08/2015	21.0
25/08/2015	20.4
26/08/2015	20.7
27/08/2015	20.8
28/08/2015	20.8
29/08/2015	
30/08/2015	21.2
31/08/2015	21.4
01/09/2015	sin dato
02/09/2015	sin dato
03/09/2015	sin dato
04/09/2015	sin dato
05/09/2015	sin dato
06/09/2015	sin dato
07/09/2015	sin dato
08/09/2015	sin dato
09/09/2015	sin dato
10/09/2015	sin dato
11/09/2015	sin dato
12/09/2015	19.2
13/09/2015	19.1
14/09/2015	19.0
15/09/2015	19.2
16/09/2015	19.1
17/09/2015	19.5
18/09/2015	19.4
19/09/2015	19.6
20/09/2015	19.8
21/09/2015	19.6
22/09/2015	19.4
23/09/2015	19.1
24/09/2015	18.9
25/09/2015	19.1
26/09/2015	19.0
27/09/2015	19.0
28/09/2015	19.0
29/09/2015	18.8
30/09/2015	18.1
01/10/2015	18.4
02/10/2015	18.8
03/10/2015	18.7
04/10/2015	18.7
05/10/2015	19.0
06/10/2015	19.0
07/10/2015	18.4
08/10/2015	18.3
09/10/2015	18.4
10/10/2015	18.2
11/10/2015	18.3
12/10/2015	18.7
13/10/2015	18.5
14/10/2015	18.2
15/10/2015	17.0
16/10/2015	16.6
17/10/2015	15.4
18/10/2015	15.3
19/10/2015	15.5
20/10/2015	15.6
21/10/2015	15.5
22/10/2015	15.3
23/10/2015	15.5
24/10/2015	15.5
25/10/2015	15.6
26/10/2015	15.7
27/10/2015	15.5
28/10/2015	15.4
29/10/2015	15.6
30/10/2015	15.7
31/10/2015	16.0
01/11/2015	16.0
02/11/2015	16.6
03/11/2015	16.4
04/11/2015	16.0
05/11/2015	15.8
06/11/2015	16.0
07/11/2015	16.4
08/11/2015	16.8
09/11/2015	17.0
10/11/2015	17.0
11/11/2015	16.8
